RECID,XMLRECORD
1,"<row id=""1"" xml:space=""preserve""><c1>C100001</c1><c2>Thérèse</c2><c3>Allain</c3><c5>85, chemin Raymond</c5><c7>Potier</c7><c8>44186</c8><c31>20060526</c31><c48>TN0000001</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
2,"<row id=""2"" xml:space=""preserve""><c1>C100002</c1><c2>Thierry</c2><c3>Boulanger</c3><c5>chemin de Paul</c5><c7>Saint Élodie</c7><c8>19935</c8><c31>20200131</c31><c48>TN0000002</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
3,"<row id=""3"" xml:space=""preserve""><c1>C100003</c1><c2>Lucie</c2><c3>Fournier</c3><c5>50, rue Chrétien</c5><c7>Clerc</c7><c8>40678</c8><c31>20100110</c31><c48>TN0000003</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
4,"<row id=""4"" xml:space=""preserve""><c1>C100004</c1><c2>Émile</c2><c3>Bourgeois</c3><c5>rue Sylvie Martinez</c5><c7>Rocher</c7><c8>89184</c8><c31>20090124</c31><c48>TN0000004</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
5,"<row id=""5"" xml:space=""preserve""><c1>C100005</c1><c2>Alfred</c2><c3>Besson</c3><c5>4, boulevard Agnès Fontaine</c5><c7>Gérard</c7><c8>89772</c8><c31>20151222</c31><c48>TN0000005</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
6,"<row id=""6"" xml:space=""preserve""><c1>C100006</c1><c2>Sébastien</c2><c3>Prévost</c3><c5>176, chemin Bernadette Le Roux</c5><c7>Gomesdan</c7><c8>06364</c8><c31>20201030</c31><c48>TN0000006</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
7,"<row id=""7"" xml:space=""preserve""><c1>C100007</c1><c2>Claire</c2><c3>François</c3><c5>93, rue de Voisin</c5><c7>Marie</c7><c8>76714</c8><c31>20180527</c31><c48>TN0000007</c48><c101>INACTIVE</c101><c137>YES</c137></row>"
8,"<row id=""8"" xml:space=""preserve""><c1>C100008</c1><c2>Michelle</c2><c3>Marchal</c3><c5>74, boulevard de Nicolas</c5><c7>Torresnec</c7><c8>24265</c8><c31>20200829</c31><c48>TN0000008</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
9,"<row id=""9"" xml:space=""preserve""><c1>C100009</c1><c2>Mathilde</c2><c3>Marion</c3><c5>40, rue Lorraine Rodriguez</c5><c7>Saint Joséphine</c7><c8>50929</c8><c31>20141017</c31><c48>TN0000009</c48><c101>ACTIVE</c101><c137>YES</c137></row>"
10,"<row id=""10"" xml:space=""preserve""><c1>C100010</c1><c2>Frédéric</c2><c3>Dufour</c3><c5>33, rue Le Roux</c5><c7>Joly</c7><c8>97646</c8><c31>20240901</c31><c48>TN0000010</c48><c101>ACTIVE</c101><c137>NO</c137></row>"
11,"<row id=""11"" xml:space=""preserve""><c1>C100011</c1><c2>Marie</c2><c3>Blanchard</c3><c5>1, chemin de Gomes</c5><c7>Roux-la-Forêt</c7><c8>85590</c8><c31>20231114</c31><c48>TN0000011</c48><c101>INACTIVE</c101><c137>NO</c137></row>"
